1,F,38,M,2,0,64.8,65.7
2,M,27,M,3,32000,55.9,58.0
3,X,22,S,2,15000,64.6,99.8
4,M,31,M,4,40000,66.8,64.6
5,F,99,S,0,17000,64.5,99.8
6,F,40,M,3,5000,72.4,62.3
7,M,99,M,3,21050,65.1,58.0
8,F,28,M,1,0,59.1,74.6
9,M,39,S,0,46000,72.0,99.8
10,M,20,S,0,19000,68.1,99.8
11,M,25,S,0,35000,77.9,99.8
12,F,20,S,1,11000,65.9,99.9
13,F,32,M,2,5000,65.0,65.9
14,F,23,M,0,22000,69.1,61.6
15,M,35,M,2,50000,68.0,70.8
16,F,35,M,3,3000,59.8,66.2
17,M,40,S,0,45000,62.9,99.8
18,M,25,M,2,26000,60.6,71.2
19,M,35,M,5,30000,76.8,60.5
20,M,35,M,4,30500,67.8,99.9
21,F,29,M,1,7000,66.1,70.6
22,F,32,M,3,0,66.6,65.9
23,X,35,S,0,25000,69.7,99.8
24,F,33,W,9,20000,66.3,99.8
25,M,35,M,2,50000,60.2,53.7
26,M,27,D,2,40000,73.2,99.8
27,F,21,M,0,19000,70.8,70.7
28,M,23,M,0,23000,61.7,64.0
29,F,24,M,0,25000,76.8,63.6
30,M,29,M,2,39000,64.8,70.8
31,F,23,S,0,29000,70.4,99.8
32,F,21,M,1,5000,73.9,71.1
33,M,37,M,3,46000,63.7,65.5
34,M,39,M,2,48000,75.4,70.7
35,M,30,S,0,32000,54.2,99.8
36,M,28,S,0,36000,65.1,99.8
37,M,27,S,0,26000,67.5,99.8
38,F,32,M,5,0,69.9,64.9
39,F,23,S,0,10000,61.9,99.8
40,F,20,S,2,9500,69.4,99.8
41,F,22,S,3,11000,62.3,99.8
42,F,26,M,1,7000,56.8,64.9
43,F,27,M,3,0,57.2,56.8
44,F,29,M,2,0,68.0,72.6
45,M,29,M,2,30000,64.3,67.7
46,M,32,M,3,42000,78.9,66.3
47,M,38,M,4,35000,72.0,60.0
48,X,31,D,2,99999,61.3,99.8
49,F,99,W,5,9000,65.0,99.8
50,F,23,W,1,10000,60.3,99.8

